#    L    TT             EE             BB             TE          
   289   0.290168E+04   0.129295E+02   0.988096E-02   0.110320E+03
   290   0.286464E+04   0.131093E+02   0.992206E-02   0.109506E+03
   291   0.282793E+04   0.132878E+02   0.996301E-02   0.108648E+03
   292   0.279154E+04   0.134646E+02   0.100038E-01   0.107748E+03
   293   0.275551E+04   0.136397E+02   0.100445E-01   0.106806E+03
   294   0.271984E+04   0.138131E+02   0.100850E-01   0.105821E+03
   295   0.268455E+04   0.139845E+02   0.101254E-01   0.104794E+03
   296   0.264965E+04   0.141539E+02   0.101657E-01   0.103726E+03
   297   0.261515E+04   0.143211E+02   0.102059E-01   0.102616E+03
   298   0.258109E+04   0.144860E+02   0.102459E-01   0.101464E+03
   299   0.254746E+04   0.146485E+02   0.102859E-01   0.100272E+03
   300   0.251429E+04   0.148084E+02   0.103258E-01   0.990397E+02
   301   0.248160E+04   0.149657E+02   0.103655E-01   0.977673E+02
   302   0.244938E+04   0.151202E+02   0.104052E-01   0.964560E+02
   303   0.241765E+04   0.152720E+02   0.104449E-01   0.951068E+02
   304   0.238641E+04   0.154211E+02   0.104844E-01   0.937205E+02
   305   0.235567E+04   0.155674E+02   0.105239E-01   0.922975E+02
   306   0.232542E+04   0.157109E+02   0.105634E-01   0.908386E+02
   307   0.229567E+04   0.158514E+02   0.106028E-01   0.893449E+02
   308   0.226643E+04   0.159891E+02   0.106421E-01   0.878173E+02
   309   0.223769E+04   0.161238E+02   0.106814E-01   0.862568E+02
   310   0.220946E+04   0.162554E+02   0.107207E-01   0.846643E+02
   311   0.218174E+04   0.163841E+02   0.107600E-01   0.830394E+02
   312   0.215453E+04   0.165096E+02   0.107992E-01   0.813843E+02
   313   0.212785E+04   0.166320E+02   0.108384E-01   0.796995E+02
   314   0.210168E+04   0.167512E+02   0.108777E-01   0.779858E+02
   315   0.207603E+04   0.168671E+02   0.109169E-01   0.762442E+02
   316   0.205090E+04   0.169798E+02   0.109562E-01   0.744756E+02
   317   0.202631E+04   0.170891E+02   0.109954E-01   0.726818E+02
   318   0.200225E+04   0.171951E+02   0.110347E-01   0.708630E+02
   319   0.197872E+04   0.172976E+02   0.110741E-01   0.690201E+02
   320   0.195572E+04   0.173967E+02   0.111134E-01   0.671548E+02
   321   0.193328E+04   0.174923E+02   0.111529E-01   0.652682E+02
   322   0.191136E+04   0.175842E+02   0.111924E-01   0.633604E+02
   323   0.188999E+04   0.176726E+02   0.112319E-01   0.614330E+02
   324   0.186916E+04   0.177572E+02   0.112716E-01   0.594879E+02
   325   0.184889E+04   0.178381E+02   0.113113E-01   0.575253E+02
   326   0.182915E+04   0.179153E+02   0.113512E-01   0.555467E+02
   327   0.180997E+04   0.179886E+02   0.113911E-01   0.535526E+02
   328   0.179135E+04   0.180580E+02   0.114312E-01   0.515444E+02
   329   0.177327E+04   0.181235E+02   0.114714E-01   0.495248E+02
   330   0.175576E+04   0.181849E+02   0.115117E-01   0.474932E+02
   331   0.173880E+04   0.182424E+02   0.115522E-01   0.454512E+02
   332   0.172240E+04   0.182958E+02   0.115929E-01   0.433998E+02
   333   0.170655E+04   0.183449E+02   0.116337E-01   0.413415E+02
   334   0.169126E+04   0.183899E+02   0.116747E-01   0.392765E+02
   335   0.167655E+04   0.184306E+02   0.117159E-01   0.372065E+02
   336   0.166239E+04   0.184670E+02   0.117573E-01   0.351324E+02
   337   0.164879E+04   0.184990E+02   0.117989E-01   0.330567E+02
   338   0.163576E+04   0.185266E+02   0.118408E-01   0.309796E+02
   339   0.162329E+04   0.185498E+02   0.118829E-01   0.289035E+02
   340   0.161139E+04   0.185685E+02   0.119252E-01   0.268295E+02
   341   0.160006E+04   0.185826E+02   0.119678E-01   0.247583E+02
   342   0.158928E+04   0.185921E+02   0.120107E-01   0.226911E+02
   343   0.157907E+04   0.185969E+02   0.120539E-01   0.206303E+02
   344   0.156941E+04   0.185969E+02   0.120973E-01   0.185760E+02
   345   0.156031E+04   0.185921E+02   0.121410E-01   0.165299E+02
   346   0.155176E+04   0.185824E+02   0.121851E-01   0.144931E+02
   347   0.154376E+04   0.185678E+02   0.122295E-01   0.124672E+02
   348   0.153631E+04   0.185481E+02   0.122742E-01   0.104532E+02
   349   0.152941E+04   0.185234E+02   0.123192E-01   0.845416E+01
   350   0.152306E+04   0.184937E+02   0.123646E-01   0.647044E+01
   351   0.151727E+04   0.184590E+02   0.124104E-01   0.450424E+01
   352   0.151202E+04   0.184193E+02   0.124565E-01   0.255634E+01
   353   0.150732E+04   0.183747E+02   0.125030E-01   0.626597E+00
   354   0.150315E+04   0.183253E+02   0.125498E-01  -0.128291E+01
   355   0.149953E+04   0.182710E+02   0.125971E-01  -0.317308E+01
   356   0.149642E+04   0.182122E+02   0.126447E-01  -0.504331E+01
