#    L    TT             EE             BB             TE          
   299   0.222742E+04   0.201993E+02   0.147962E-01   0.628555E+02
   300   0.220611E+04   0.203735E+02   0.148512E-01   0.610309E+02
   301   0.218533E+04   0.205433E+02   0.149061E-01   0.591759E+02
   302   0.216508E+04   0.207085E+02   0.149611E-01   0.572915E+02
   303   0.214535E+04   0.208693E+02   0.150160E-01   0.553791E+02
   304   0.212615E+04   0.210256E+02   0.150710E-01   0.534396E+02
   305   0.210748E+04   0.211774E+02   0.151260E-01   0.514736E+02
   306   0.208933E+04   0.213248E+02   0.151810E-01   0.494821E+02
   307   0.207172E+04   0.214675E+02   0.152361E-01   0.474663E+02
   308   0.205464E+04   0.216056E+02   0.152912E-01   0.454275E+02
   309   0.203808E+04   0.217391E+02   0.153463E-01   0.433666E+02
   310   0.202203E+04   0.218679E+02   0.154016E-01   0.412850E+02
   311   0.200652E+04   0.219920E+02   0.154569E-01   0.391822E+02
   312   0.199152E+04   0.221115E+02   0.155123E-01   0.370609E+02
   313   0.197705E+04   0.222262E+02   0.155678E-01   0.349215E+02
   314   0.196309E+04   0.223360E+02   0.156234E-01   0.327651E+02
   315   0.194965E+04   0.224410E+02   0.156791E-01   0.305930E+02
   316   0.193673E+04   0.225413E+02   0.157349E-01   0.284062E+02
   317   0.192432E+04   0.226366E+02   0.157909E-01   0.262067E+02
   318   0.191243E+04   0.227270E+02   0.158471E-01   0.239948E+02
   319   0.190106E+04   0.228124E+02   0.159034E-01   0.217717E+02
   320   0.189019E+04   0.228929E+02   0.159598E-01   0.195394E+02
   321   0.187984E+04   0.229683E+02   0.160165E-01   0.172989E+02
   322   0.186999E+04   0.230387E+02   0.160733E-01   0.150507E+02
   323   0.186066E+04   0.231039E+02   0.161304E-01   0.127967E+02
   324   0.185183E+04   0.231640E+02   0.161877E-01   0.105387E+02
   325   0.184350E+04   0.232189E+02   0.162452E-01   0.827713E+01
   326   0.183568E+04   0.232686E+02   0.163030E-01   0.601394E+01
   327   0.182835E+04   0.233131E+02   0.163610E-01   0.374952E+01
   328   0.182152E+04   0.233522E+02   0.164193E-01   0.148575E+01
   329   0.181519E+04   0.233860E+02   0.164779E-01  -0.774730E+00
   330   0.180935E+04   0.234144E+02   0.165368E-01  -0.303226E+01
   331   0.180400E+04   0.234374E+02   0.165961E-01  -0.528495E+01
   332   0.179915E+04   0.234549E+02   0.166556E-01  -0.753164E+01
   333   0.179477E+04   0.234670E+02   0.167155E-01  -0.976971E+01
   334   0.179087E+04   0.234735E+02   0.167758E-01  -0.119987E+02
   335   0.178746E+04   0.234743E+02   0.168364E-01  -0.142169E+02
