#    L    TT             EE             BB             TE             PP             TP             EP          
   207   0.521740E+04   0.161245E+01   0.000000E+00   0.451596E+02   0.228278E-07   0.334559E-03   0.285118E-06
   208   0.520314E+04   0.168302E+01   0.000000E+00   0.469701E+02   0.227141E-07   0.331458E-03   0.301777E-06
   209   0.518815E+04   0.175629E+01   0.000000E+00   0.487757E+02   0.226014E-07   0.328393E-03   0.318287E-06
   210   0.517243E+04   0.183226E+01   0.000000E+00   0.505755E+02   0.224895E-07   0.325363E-03   0.334651E-06
   211   0.515598E+04   0.191092E+01   0.000000E+00   0.523686E+02   0.223786E-07   0.322366E-03   0.350871E-06
   212   0.513885E+04   0.199226E+01   0.000000E+00   0.541541E+02   0.222686E-07   0.319404E-03   0.366949E-06
   213   0.512103E+04   0.207629E+01   0.000000E+00   0.559310E+02   0.221594E-07   0.316475E-03   0.382889E-06
   214   0.510255E+04   0.216301E+01   0.000000E+00   0.576985E+02   0.220512E-07   0.313580E-03   0.398694E-06
   215   0.508342E+04   0.225240E+01   0.000000E+00   0.594555E+02   0.219438E-07   0.310717E-03   0.414365E-06
   216   0.506364E+04   0.234447E+01   0.000000E+00   0.612013E+02   0.218373E-07   0.307886E-03   0.429907E-06
   217   0.504321E+04   0.243921E+01   0.000000E+00   0.629348E+02   0.217316E-07   0.305088E-03   0.445321E-06
   218   0.502215E+04   0.253661E+01   0.000000E+00   0.646551E+02   0.216267E-07   0.302321E-03   0.460610E-06
   219   0.500045E+04   0.263667E+01   0.000000E+00   0.663612E+02   0.215227E-07   0.299586E-03   0.475777E-06
   220   0.497814E+04   0.273939E+01   0.000000E+00   0.680522E+02   0.214196E-07   0.296882E-03   0.490825E-06
   221   0.495521E+04   0.284475E+01   0.000000E+00   0.697271E+02   0.213172E-07   0.294208E-03   0.505756E-06
   222   0.493167E+04   0.295276E+01   0.000000E+00   0.713850E+02   0.212156E-07   0.291564E-03   0.520573E-06
   223   0.490754E+04   0.306340E+01   0.000000E+00   0.730248E+02   0.211149E-07   0.288950E-03   0.535280E-06
   224   0.488283E+04   0.317667E+01   0.000000E+00   0.746456E+02   0.210149E-07   0.286366E-03   0.549877E-06
   225   0.485755E+04   0.329256E+01   0.000000E+00   0.762462E+02   0.209158E-07   0.283810E-03   0.564370E-06
   226   0.483172E+04   0.341106E+01   0.000000E+00   0.778257E+02   0.208174E-07   0.281283E-03   0.578759E-06
   227   0.480534E+04   0.353217E+01   0.000000E+00   0.793832E+02   0.207197E-07   0.278785E-03   0.593047E-06
   228   0.477844E+04   0.365587E+01   0.000000E+00   0.809174E+02   0.206228E-07   0.276314E-03   0.607239E-06
   229   0.475102E+04   0.378215E+01   0.000000E+00   0.824275E+02   0.205267E-07   0.273871E-03   0.621335E-06
   230   0.472309E+04   0.391101E+01   0.000000E+00   0.839124E+02   0.204313E-07   0.271456E-03   0.635339E-06
   231   0.469466E+04   0.404243E+01   0.000000E+00   0.853710E+02   0.203367E-07   0.269067E-03   0.649254E-06
